type,prix,adresse,image
Chaussures enfant,20 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4430647_uploaded_image1_1698289087.jpg
Sandales enfant,2 500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4427622_uploaded_image2_1698104491.jpeg
Chaussures enfant,5 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4422835_uploaded_image1_1697766757.jpg
Chaussures enfants ,8 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4381758_uploaded_image1_1695064657.jpg
Chaussures enfant,13 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg
Chaussures enfant,8 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375022_uploaded_image1_1694607723.jpg
Chaussures enfant,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375003_uploaded_image1_1694607226.jpg
Chaussures enfants,8 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4372705_uploaded_image1_1694464836.jpg
Chaussures Skateboard ,11 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4402279_uploaded_image1_1696422852.jpg
Chaussures enfant,9 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4397886_uploaded_image1_1696179932.jpg
Chaussures enfant,10 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4396320_uploaded_image1_1696061527.jpg
Chaussures enfant,15 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4394927_uploaded_image1_1695956109.jpg
Chaussures enfant,6 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_4392112_uploaded_image1_1695751474.jpg
Chaussures enfant,28 000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4367839_uploaded_image2_1694130362.jpeg
Chaussures enfant,20 000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4361430_uploaded_image2_1693749843.jpeg
Chaussures enfant,20 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4351852_uploaded_image1_1693108691.jpg
Chaussures enfant,6 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4351183_uploaded_image1_1693054139.jpg
Chaussures enfant - 7 paires,15 000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4336733_uploaded_image1_1692136230.jpg
Chaussures enfant,18 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4327769_uploaded_image1_1691537125.jpg
Chaussures enfant,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4300380_uploaded_image1_1689770515.jpg
Chaussures enfant,5 000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4287055_uploaded_image1_1688860044.jpg
Chaussures enfant,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4173847_uploaded_image1_1681305963.jpg
Chaussures enfants,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4173844_uploaded_image1_1681305896.jpg
