type,prix,adresse,image
Boubou africain homme,20 000,"Gueule Tapée, Dakar, Sénégal",https://images.coinafrique.com/thumb_5544660_uploaded_image1_1758889073.jpg
Chemise africaine,13 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5539551_uploaded_image2_1758628464.jpeg
Jallabe homme ,15 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5481158_uploaded_image1_1755533660.jpg
Polo ,5 500,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5530347_uploaded_image1_1758116944.jpg
Jalabe  royale,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5530302_uploaded_image1_1758114976.jpg
Chemises homme,15 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5528639_uploaded_image1_1758039595.jpg
Costume africaine ,30 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5528446_uploaded_image1_1758031889.jpg
Vêtements homme,6 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5527580_uploaded_image1_1757989615.jpg
Pantalon Kaki homme,7 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5525299_uploaded_image1_1757874845.jpg
Polos homme,6 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5525292_uploaded_image1_1757874532.jpg
Costume africain ,45 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5525142_uploaded_image1_1757865150.jpg
Chemises homme,13 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5516951_uploaded_image1_1757433769.jpg
Nusamel sport,12 500,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5468839_uploaded_image1_1754832244.jpg
Pantalons ,8 500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5513990_uploaded_image1_1757298110.jpg
Chemises homme,15 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5513618_uploaded_image1_1757271994.jpg
Shorts hommes,3 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5510436_uploaded_image1_1757080689.jpg
Short homme,3 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5510433_uploaded_image1_1757080608.jpg
Short homme ,3 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5510429_uploaded_image1_1757080458.jpg
Short homme,3 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5510423_uploaded_image1_1757080170.jpg
Costume Col Mao,40 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5507616_uploaded_image1_1756942821.jpg
Vêtements pour hommes,4 500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5505740_uploaded_image1_1756856003.jpg
Vêtements pour hommes,9 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5505734_uploaded_image1_1756855859.jpg
Vêtements pour hommes,9 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5505726_uploaded_image1_1756855677.jpg
Vêtements pour hommes,9 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5505719_uploaded_image1_1756855434.jpg
Dialabé ,8 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5504244_uploaded_image1_1756801260.jpg
Costume africaine ,40 000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5504240_uploaded_image1_1756801063.jpg
Ensemble blousons,25 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5503561_uploaded_image1_1756762895.jpg
Pantalon cargo ,5 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5498127_uploaded_image1_1756460300.jpg
Chaussures homme ,7 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_5497701_uploaded_image1_1756418704.jpg
Chemise,10 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5495619_uploaded_image1_1756301588.jpg
Ensemble chemises Kaki,11 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5494282_uploaded_image1_1756235854.jpg
Tenues africaines ,15 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5492072_uploaded_image1_1756125069.jpg
Chemises homme,11 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5490127_uploaded_image1_1755972461.jpg
Ensemble lein,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5487168_uploaded_image1_1755817625.jpg
Ensemble homme ,12 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5487069_uploaded_image1_1755812280.jpg
Costume africain,30 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5486782_uploaded_image1_1755802563.jpg
Vêtements pour hommes,7 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5482978_uploaded_image1_1755634531.jpg
T-shirt ,2 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5479472_uploaded_image1_1755439676.jpg
Ensemble costume africain homme,30 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5478956_uploaded_image1_1755391742.jpg
T-shirt manche courte ,5 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5478947_uploaded_image1_1755391084.jpg
veste pour homme,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5478474_uploaded_image1_1755362528.jpg
Short homme,4 500,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5473116_uploaded_image1_1755058803.jpg
Jean Oversized,8 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5473114_uploaded_image1_1755058671.jpg
Chemises homme,25 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5471098_uploaded_image1_1754942626.jpg
Tee-shirt en coton pour homme,4 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5463022_uploaded_image1_1754517200.jpg
Chemise Lin homme ,8 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5460353_uploaded_image1_1754398640.jpg
Chemise Lin homme ,8 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5460351_uploaded_image1_1754398586.jpg
T-shirt Et casquette ,5 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5460350_uploaded_image1_1754398524.jpg
Emsemble pour la pluie,6 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5409459_uploaded_image1_1751803940.jpg
Vêtements pour la pluie,3 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5409451_uploaded_image1_1751803676.jpg
Para pluie ,3 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5409455_uploaded_image1_1751803857.jpg
Polo Jules,7 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5454591_uploaded_image1_1754095820.jpg
Pull Adidas,9 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5454584_uploaded_image1_1754095564.jpg
Vêtement  homme,Prix sur demande,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5450673_uploaded_image1_1753925204.jpg
Ensemble  pour homme ,15 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5402965_uploaded_image1_1751479836.jpg
Chaussures homme,2 500,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5446085_uploaded_image1_1753712713.jpg
Tee-shirts,15 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5439394_uploaded_image1_1753370451.jpg
Pantalon kakis et chemise ,15 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5438939_uploaded_image1_1753357818.jpg
Pantalon Kaki,5 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5438593_uploaded_image1_1753346732.jpg
Polo,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5435176_uploaded_image3_1753183801.jpeg
Polo,6 500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5435168_uploaded_image1_1753183652.jpg
Ensemble homme ,13 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5435162_uploaded_image1_1753183547.jpg
